weights,return,volatility,sharpe
"[0.00000000e+00 0.00000000e+00 5.12367926e-14 0.00000000e+00
 8.72496519e-14 1.31884966e-07 2.78943535e-15 0.00000000e+00
 0.00000000e+00 1.07830411e-14 0.00000000e+00 1.20181642e-14
 0.00000000e+00 7.77156117e-16 9.99999868e-01]",0.041900491489602745,0.14553058995615017,0.1504872033859107
"[0.00000000e+00 5.29254731e-17 0.00000000e+00 1.50170294e-16
 2.16101896e-16 3.14280724e-01 0.00000000e+00 2.59997740e-01
 0.00000000e+00 0.00000000e+00 5.56282558e-17 0.00000000e+00
 1.09949816e-16 0.00000000e+00 4.25721536e-01]",0.04800998790373042,0.08660604702199413,0.3234183855154723
"[0.00000000e+00 5.96252806e-17 5.26121859e-17 0.00000000e+00
 2.76887042e-16 1.38107759e-01 0.00000000e+00 5.53625732e-01
 0.00000000e+00 1.43567933e-16 0.00000000e+00 0.00000000e+00
 3.81982609e-16 0.00000000e+00 3.08266509e-01]",0.05411948431785809,0.06735315422744069,0.5065758940203768
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.81659091e-17
 2.18238463e-16 0.00000000e+00 0.00000000e+00 8.44643607e-01
 1.49216117e-16 0.00000000e+00 1.04052508e-16 1.00935738e-16
 0.00000000e+00 0.00000000e+00 1.55356393e-01]",0.060228980731985765,0.05075424688171062,0.7926229469180114
"[3.18011610e-17 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.98217254e-18 0.00000000e+00 8.26694293e-01
 9.60569396e-02 0.00000000e+00 1.99746370e-17 8.09119261e-19
 8.62918384e-18 3.54036912e-17 7.72487674e-02]",0.06633847714611343,0.04797269163500446,0.9659344841159886
"[8.51016983e-17 0.00000000e+00 3.03528148e-17 7.31934152e-18
 0.00000000e+00 1.43103844e-16 1.03031176e-16 7.20082575e-01
 2.20550338e-01 7.99404850e-17 0.00000000e+00 0.00000000e+00
 4.47385066e-17 0.00000000e+00 5.93670864e-02]",0.0724479735602411,0.04674790118429264,1.1219321559159898
"[5.91232852e-17 0.00000000e+00 8.64891621e-18 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.10552130e-16 6.11890571e-01
 3.45550578e-01 2.84244511e-16 6.97894578e-17 1.54823430e-17
 0.00000000e+00 4.10550692e-17 4.25588508e-02]",0.07855746997436878,0.04625125819105072,1.2660730164892946
"[0.00000000e+00 3.05318087e-17 0.00000000e+00 0.00000000e+00
 1.08249682e-16 0.00000000e+00 0.00000000e+00 5.54423545e-01
 4.09483862e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.02397134e-02 0.00000000e+00 2.58528791e-02]",0.08466696638849645,0.046394774681913595,1.3938415873739771
"[0.00000000e+00 1.06317233e-17 0.00000000e+00 8.80308601e-17
 0.00000000e+00 0.00000000e+00 4.33701723e-17 5.23786031e-01
 4.36095504e-01 0.00000000e+00 0.00000000e+00 4.07873440e-17
 2.70433398e-02 4.46768148e-17 1.30751255e-02]",0.09077646280262414,0.04671425820961179,1.5150933679615055
"[0.00000000e+00 3.18954078e-17 5.87417703e-17 0.00000000e+00
 1.04578051e-17 0.00000000e+00 1.78279704e-16 4.93850326e-01
 4.61541647e-01 0.00000000e+00 0.00000000e+00 1.03340303e-17
 4.40619201e-02 0.00000000e+00 5.46106499e-04]",0.0968859592167518,0.047155198093667326,1.6304874610860165
